Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H),Price_USD,Is_front_wheel_drive,Is_All_Wheel_Drive,Is_Rear_Wheel_Drive,Speed New,Battery_clean
Kia e-Niro 64 kWh,Battery Electric Vehicle |       64 kWh,173 Wh/km,350 km/h,Front Wheel Drive,5,39090,"£32,445",370,7.8,167,45354.24,True,False,False,217.48,64.0
Kia e-Niro 39 kWh,Battery Electric Vehicle |       39.2 kWh,167 Wh/km,230 km/h,Front Wheel Drive,5,35290,"£30,345",235,9.8,155,40945.28,True,False,False,142.92,39.2
Citroen e-SpaceTourer XS 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,50880,,185,12.1,130,59033.6,True,False,False,155.34,45.0
Citroen e-SpaceTourer M 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,51440,"£31,995",185,12.1,130,59683.34,True,False,False,155.34,45.0
Citroen e-SpaceTourer XL 50 kWh,Battery Electric Vehicle |       45 kWh ,250 Wh/km,240 km/h,Front Wheel Drive,7,52230,,180,12.1,130,60599.94,True,False,False,149.13,45.0
Citroen e-SpaceTourer M 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,57440,,270,13.3,130,66644.85,True,False,False,180.2,68.0
Citroen e-SpaceTourer XL 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,58230,,270,13.3,130,67561.45,True,False,False,180.2,68.0
Opel Zafira-e Life S 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,56700,,185,12.1,130,65786.27,True,False,False,155.34,45.0
Opel Zafira-e Life M 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,53800,,185,12.1,130,62421.54,True,False,False,155.34,45.0
Opel Zafira-e Life L 50 kWh,Battery Electric Vehicle |       45 kWh ,250 Wh/km,240 km/h,Front Wheel Drive,7,54625,"£49,465",180,12.1,130,63378.75,True,False,False,149.13,45.0
Opel Zafira-e Life M 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,59800,,270,13.3,130,69383.05,True,False,False,180.2,68.0
Opel Zafira-e Life L 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,60625,,270,13.3,130,70340.26,True,False,False,180.2,68.0
Peugeot e-Traveller Compact 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,50880,,185,12.1,130,59033.6,True,False,False,155.34,45.0
Peugeot e-Traveller Standard 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,55900,"£49,065",185,13.1,130,64858.07,True,False,False,155.34,45.0
Peugeot e-Traveller Long 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,56690,"£49,905",185,13.1,130,65774.67,True,False,False,155.34,45.0
Peugeot e-Traveller Standard 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,57440,,270,13.3,130,66644.85,True,False,False,180.2,68.0
Peugeot e-Traveller Long 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,58230,,270,13.3,130,67561.45,True,False,False,180.2,68.0
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,237 Wh/km,590 km/h,All Wheel Drive,5,81500,,365,5.7,200,94560.51,False,True,False,366.61,86.5
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,231 Wh/km,600 km/h,All Wheel Drive,5,83750,,375,5.7,200,97171.07,False,True,False,372.82,86.5
Seres 3 ,Battery Electric Vehicle |       52 kWh ,193 Wh/km,390 km/h,Front Wheel Drive,5,0,,270,8.9,155,0.0,True,False,False,242.33,52.0
Hyundai IONIQ 5 Project 45,Battery Electric Vehicle |       72.6 kWh ,196 Wh/km,860 km/h,All Wheel Drive,5,59550,"£48,000",370,5.2,185,69092.98,False,True,False,534.38,72.6
Porsche Taycan ,Battery Electric Vehicle |       71 kWh,180 Wh/km,790 km/h,Rear Wheel Drive,4,83520,"£70,690",395,5.4,230,96904.22,False,False,True,490.88,71.0
Porsche Taycan Plus,Battery Electric Vehicle |       83.7 kWh,182 Wh/km,960 km/h,Rear Wheel Drive,4,89244,"£74,739",460,5.4,230,103545.5,False,False,True,596.52,83.7
Tesla Model S Long Range,Battery Electric Vehicle |       90 kWh ,162 Wh/km,830 km/h,All Wheel Drive,5,86990,"£83,980",555,3.2,250,100930.29,False,True,False,515.74,90.0
Tesla Model S Plaid,Battery Electric Vehicle |       90 kWh ,168 Wh/km,800 km/h,All Wheel Drive,5,126990,"£118,980",535,2.1,322,147340.36,False,True,False,497.1,90.0
Tesla Model X Long Range,Battery Electric Vehicle |       90 kWh ,189 Wh/km,710 km/h,All Wheel Drive,7,95990,"£90,980",475,3.9,250,111372.55,False,True,False,441.17,90.0
Tesla Model X Plaid,Battery Electric Vehicle |       90 kWh ,198 Wh/km,680 km/h,All Wheel Drive,7,116990,"£110,980",455,2.6,262,135737.84,False,True,False,422.53,90.0
Mini Cooper SE ,Battery Electric Vehicle |       28.9 kWh,156 Wh/km,260 km/h,Front Wheel Drive,4,32500,"£26,000",185,7.3,150,37708.18,True,False,False,161.56,28.9
JAC iEV7s ,Battery Electric Vehicle |       39 kWh,173 Wh/km,160 km/h,Front Wheel Drive,5,0,,225,12.0,132,0.0,True,False,False,99.42,39.0
Volkswagen ID.4 Pure Performance,Battery Electric Vehicle |       52 kWh,182 Wh/km,410 km/h,Rear Wheel Drive,5,38450,"£36,030",285,9.0,160,44611.68,False,False,True,254.76,52.0
Audi e-tron GT quattro,Battery Electric Vehicle |       85 kWh,202 Wh/km,840 km/h,All Wheel Drive,4,99800,"£79,900",420,4.1,245,115793.11,False,True,False,521.95,85.0
Volvo C40 Recharge,Battery Electric Vehicle |       75 kWh,221 Wh/km,440 km/h,All Wheel Drive,5,62050,"£57,400",340,4.7,180,71993.61,False,True,False,273.4,75.0
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,157 Wh/km,210 km/h,Front Wheel Drive,5,35650,"£27,950",250,9.9,155,41362.97,True,False,False,130.49,39.2
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,162 Wh/km,370 km/h,Front Wheel Drive,5,41850,"£32,550",395,7.9,167,48556.53,True,False,False,229.91,64.0
Porsche Taycan 4S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,207 Wh/km,850 km/h,All Wheel Drive,4,111842,"£87,820",405,4.1,240,129764.86,False,True,False,528.17,83.7
Porsche Taycan Turbo Cross Turismo,Battery Electric Vehicle |       83.7 kWh,217 Wh/km,800 km/h,All Wheel Drive,4,154444,"£116,950",385,3.3,250,179193.9,False,True,False,497.1,83.7
