Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H)
Peugeot e-Traveller Long 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,"€58,230",,270,13.3,130
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,237 Wh/km,590 km/h,All Wheel Drive,5,"€81,500",,365,5.7,200
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,231 Wh/km,600 km/h,All Wheel Drive,5,"€83,750",,375,5.7,200
Seres 3 ,Battery Electric Vehicle |       52 kWh ,193 Wh/km,390 km/h,Front Wheel Drive,5,,,270,8.9,155
Hyundai IONIQ 5 Project 45,Battery Electric Vehicle |       72.6 kWh ,196 Wh/km,860 km/h,All Wheel Drive,5,"€59,550","£48,000",370,5.2,185
Porsche Taycan ,Battery Electric Vehicle |       71 kWh,180 Wh/km,790 km/h,Rear Wheel Drive,4,"€83,520","£70,690",395,5.4,230
Porsche Taycan Plus,Battery Electric Vehicle |       83.7 kWh,182 Wh/km,960 km/h,Rear Wheel Drive,4,"€89,244","£74,739",460,5.4,230
Tesla Model S Long Range,Battery Electric Vehicle |       90 kWh ,162 Wh/km,830 km/h,All Wheel Drive,5,"€86,990","£83,980",555,3.2,250
Tesla Model S Plaid,Battery Electric Vehicle |       90 kWh ,168 Wh/km,800 km/h,All Wheel Drive,5,"€126,990","£118,980",535,2.1,322
Tesla Model X Long Range,Battery Electric Vehicle |       90 kWh ,189 Wh/km,710 km/h,All Wheel Drive,7,"€95,990","£90,980",475,3.9,250
Tesla Model X Plaid,Battery Electric Vehicle |       90 kWh ,198 Wh/km,680 km/h,All Wheel Drive,7,"€116,990","£110,980",455,2.6,262
Mini Cooper SE ,Battery Electric Vehicle |       28.9 kWh,156 Wh/km,260 km/h,Front Wheel Drive,4,"€32,500","£26,000",185,7.3,150
